B.cells.naive,B.cells.memory,Plasma.cells,T.cells.CD8,T.cells.CD4.naive,T.cells.CD4.memory.resting,T.cells.CD4.memory.activated,T.cells.follicular.helper,T.cells.regulatory..Tregs.,T.cells.gamma.delta,NK.cells.resting,NK.cells.activated,Monocytes,Macrophages.M0,Macrophages.M1,Macrophages.M2,Dendritic.cells.resting,Dendritic.cells.activated,Mast.cells.resting,Mast.cells.activated,Eosinophils,Neutrophils,Treg_cluster
0.0,0.075,0.0,0.062,0.0,0.099,0.0,0.106,0.035,0.0,0.0,0.078,0.079,0.156,0.057999999999999996,0.10800000000000001,0.0,0.004,0.134,0.0,0.006,0.0,0.0
0.008,0.017,0.006999999999999999,0.0765,0.0,0.1065,0.0,0.068,0.025,0.0,0.0,0.0505,0.0385,0.034,0.040999999999999995,0.29100000000000004,0.0,0.001,0.0,0.0035,0.0,0.0,
0.008,0.017,0.006999999999999999,0.0765,0.0,0.1065,0.0,0.068,0.025,0.0,0.0,0.0505,0.0385,0.034,0.040999999999999995,0.29100000000000004,0.0,0.001,0.0,0.0035,0.0,0.0,
0.0,0.187,0.207,0.083,0.024,0.0,0.0,0.087,0.061,0.077,0.0,0.035,0.0,0.106,0.04,0.006999999999999999,0.0,0.003,0.07400000000000001,0.0,0.008,0.0,0.0
0.008,0.017,0.006999999999999999,0.0765,0.0,0.1065,0.0,0.068,0.025,0.0,0.0,0.0505,0.0385,0.034,0.040999999999999995,0.29100000000000004,0.0,0.001,0.0,0.0035,0.0,0.0,
0.0,0.18100000000000002,0.042,0.153,0.0,0.038,0.0,0.09300000000000001,0.059000000000000004,0.0,0.0,0.14300000000000002,0.031,0.0,0.022000000000000002,0.11199999999999999,0.0,0.008,0.0,0.111,0.0,0.006999999999999999,1.0
0.008,0.017,0.006999999999999999,0.0765,0.0,0.1065,0.0,0.068,0.025,0.0,0.0,0.0505,0.0385,0.034,0.040999999999999995,0.29100000000000004,0.0,0.001,0.0,0.0035,0.0,0.0,
0.008,0.017,0.006999999999999999,0.0765,0.0,0.1065,0.0,0.068,0.025,0.0,0.0,0.0505,0.0385,0.034,0.040999999999999995,0.29100000000000004,0.0,0.001,0.0,0.0035,0.0,0.0,0.0
0.038,0.0,0.008,0.135,0.0,0.11599999999999999,0.0,0.095,0.059000000000000004,0.0,0.0,0.114,0.038,0.081,0.084,0.192,0.0,0.0,0.0,0.039,0.0,0.0,1.0
0.008,0.017,0.006999999999999999,0.0765,0.0,0.1065,0.0,0.068,0.025,0.0,0.0,0.0505,0.0385,0.034,0.040999999999999995,0.29100000000000004,0.0,0.001,0.0,0.0035,0.0,0.0,
0.008,0.017,0.006999999999999999,0.0765,0.0,0.1065,0.0,0.068,0.025,0.0,0.0,0.0505,0.0385,0.034,0.040999999999999995,0.29100000000000004,0.0,0.001,0.0,0.0035,0.0,0.0,
0.0,0.10800000000000001,0.015,0.07200000000000001,0.0,0.11199999999999999,0.0,0.113,0.042,0.0,0.0,0.040999999999999995,0.035,0.22,0.011000000000000001,0.09699999999999999,0.0,0.01,0.0,0.12300000000000001,0.0,0.0,0.0
0.008,0.017,0.006999999999999999,0.0765,0.0,0.1065,0.0,0.068,0.025,0.0,0.0,0.0505,0.0385,0.034,0.040999999999999995,0.29100000000000004,0.0,0.001,0.0,0.0035,0.0,0.0,1.0
0.008,0.017,0.006999999999999999,0.0765,0.0,0.1065,0.0,0.068,0.025,0.0,0.0,0.0505,0.0385,0.034,0.040999999999999995,0.29100000000000004,0.0,0.001,0.0,0.0035,0.0,0.0,
0.034,0.033,0.02,0.084,0.0,0.157,0.0,0.094,0.006,0.0,0.0,0.043,0.032,0.0,0.0,0.358,0.0,0.13,0.009000000000000001,0.0,0.0,0.0,1.0
0.0,0.028999999999999998,0.0,0.025,0.0,0.17800000000000002,0.0,0.036000000000000004,0.0,0.0,0.0,0.067,0.099,0.0,0.0,0.377,0.0,0.1,0.0,0.08900000000000001,0.0,0.0,0.0
0.008,0.017,0.006999999999999999,0.0765,0.0,0.1065,0.0,0.068,0.025,0.0,0.0,0.0505,0.0385,0.034,0.040999999999999995,0.29100000000000004,0.0,0.001,0.0,0.0035,0.0,0.0,
0.008,0.017,0.006999999999999999,0.0765,0.0,0.1065,0.0,0.068,0.025,0.0,0.0,0.0505,0.0385,0.034,0.040999999999999995,0.29100000000000004,0.0,0.001,0.0,0.0035,0.0,0.0,
0.008,0.017,0.006999999999999999,0.0765,0.0,0.1065,0.0,0.068,0.025,0.0,0.0,0.0505,0.0385,0.034,0.040999999999999995,0.29100000000000004,0.0,0.001,0.0,0.0035,0.0,0.0,
0.008,0.017,0.006999999999999999,0.0765,0.0,0.1065,0.0,0.068,0.025,0.0,0.0,0.0505,0.0385,0.034,0.040999999999999995,0.29100000000000004,0.0,0.001,0.0,0.0035,0.0,0.0,0.0
0.008,0.017,0.006999999999999999,0.0765,0.0,0.1065,0.0,0.068,0.025,0.0,0.0,0.0505,0.0385,0.034,0.040999999999999995,0.29100000000000004,0.0,0.001,0.0,0.0035,0.0,0.0,
0.008,0.017,0.006999999999999999,0.0765,0.0,0.1065,0.0,0.068,0.025,0.0,0.0,0.0505,0.0385,0.034,0.040999999999999995,0.29100000000000004,0.0,0.001,0.0,0.0035,0.0,0.0,
0.008,0.017,0.006999999999999999,0.0765,0.0,0.1065,0.0,0.068,0.025,0.0,0.0,0.0505,0.0385,0.034,0.040999999999999995,0.29100000000000004,0.0,0.001,0.0,0.0035,0.0,0.0,
0.05,0.035,0.0,0.10800000000000001,0.0,0.086,0.0,0.032,0.057999999999999996,0.0,0.0,0.043,0.055999999999999994,0.075,0.046,0.256,0.003,0.0,0.149,0.0,0.0,0.003,0.0
0.008,0.017,0.006999999999999999,0.0765,0.0,0.1065,0.0,0.068,0.025,0.0,0.0,0.0505,0.0385,0.034,0.040999999999999995,0.29100000000000004,0.0,0.001,0.0,0.0035,0.0,0.0,
0.128,0.038,0.039,0.034,0.0,0.13,0.0,0.183,0.0,0.0,0.0,0.067,0.023,0.0,0.063,0.161,0.0,0.122,0.013000000000000001,0.0,0.0,0.0,0.0
0.008,0.017,0.006999999999999999,0.0765,0.0,0.1065,0.0,0.068,0.025,0.0,0.0,0.0505,0.0385,0.034,0.040999999999999995,0.29100000000000004,0.0,0.001,0.0,0.0035,0.0,0.0,
